Smiles,Nr. of heavy atoms,mols,Formal Charge,Nr_of_wildcards
*c1ccc(*)c(C2=NC3(CC3)C(=O)O2)c1,14,<rdkit.Chem.rdchem.Mol object at 0x7f73bc269700>,0,2
*c1ccc(C2=NC3(CC3)C(=O)O2)c(*)c1,14,<rdkit.Chem.rdchem.Mol object at 0x7f73bc268270>,0,2
*c1cc(*)c2c3c1CC1NCCC34C(O2)C2(CCC14O)CO2,21,<rdkit.Chem.rdchem.Mol object at 0x7f73bc2682e0>,0,2
*c1cc2c(cc1*)C1CC3=CC(=O)CCC3CN1C(=O)C2,20,<rdkit.Chem.rdchem.Mol object at 0x7f73bc26b370>,0,2
*c1cc(*)c2c(c1)COCOC2,11,<rdkit.Chem.rdchem.Mol object at 0x7f73bc26ac70>,0,2
*c1nc2c(*)onc2cc1[N+](=O)[O-],12,<rdkit.Chem.rdchem.Mol object at 0x7f73bc282570>,0,2
*c1cc(*)c2c(c1)S(=O)(=O)NC(C=O)=C2O,15,<rdkit.Chem.rdchem.Mol object at 0x7f73bc2819a0>,0,2
*C(=O)C1=C(O)c2ccc(*)cc2S(=O)(=O)N1,15,<rdkit.Chem.rdchem.Mol object at 0x7f73bc42b610>,0,2
*c1ccc(B(c2ccccc2)c2ccccc2*)s1,18,<rdkit.Chem.rdchem.Mol object at 0x7f73bc429f50>,0,2
*c1ccc(B(c2ccccc2)c2ccc(*)s2)cc1,18,<rdkit.Chem.rdchem.Mol object at 0x7f73bc42a3b0>,0,2
*c1ccc(B(c2ccccc2)c2cccs2)c(*)c1,18,<rdkit.Chem.rdchem.Mol object at 0x7f73bc604350>,0,2
*c1cccc(*)c1B(c1ccccc1)c1cccs1,18,<rdkit.Chem.rdchem.Mol object at 0x7f73bc2af5a0>,0,2
*c1ccccc1B(c1cccs1)c1ccccc1*,18,<rdkit.Chem.rdchem.Mol object at 0x7f73bc2acdd0>,0,2
*c1ccc(B(c2cccs2)c2ccccc2*)cc1,18,<rdkit.Chem.rdchem.Mol object at 0x7f73bc2ae880>,0,2
*c1ccc(B(c2ccc(*)cc2)c2cccs2)cc1,18,<rdkit.Chem.rdchem.Mol object at 0x7f73b7f64120>,0,2
*c1ccc(*)c2c1OC(=O)C1CCC=CC21,15,<rdkit.Chem.rdchem.Mol object at 0x7f73b7f8c5f0>,0,2
*c1ccc(P(C)CCP(C)c2ccccc2)c(*)c1,18,<rdkit.Chem.rdchem.Mol object at 0x7f73bc2c1f50>,0,2
*c1ccc(*)c(P(C)CCP(C)c2ccccc2)c1,18,<rdkit.Chem.rdchem.Mol object at 0x7f73b7f8d700>,0,2
*c1cc([S-])n(*)[s+]1,6,<rdkit.Chem.rdchem.Mol object at 0x7f73b7f8cf90>,0,2
*c1c[s+]n(*)c1[S-],6,<rdkit.Chem.rdchem.Mol object at 0x7f73b7f8fb50>,0,2
*c1[s+][nH]c([S-])c1*,6,<rdkit.Chem.rdchem.Mol object at 0x7f73b7fcc0b0>,0,2
*c1cc(S(N)(=O)=O)c(*)cc1Br,11,<rdkit.Chem.rdchem.Mol object at 0x7f73b7fccdd0>,0,2
*c1ccc(N=CC)cc1*,9,<rdkit.Chem.rdchem.Mol object at 0x7f73b7fcfa70>,0,2
*c1c(*)c(N)c([N+](=O)[O-])c([N+](=O)[O-])c1N,14,<rdkit.Chem.rdchem.Mol object at 0x7f73b7fcccf0>,0,2
*c1ccc(*)c2c1c1c(n2C(C)=O)OCCC1CO,18,<rdkit.Chem.rdchem.Mol object at 0x7f73b7fa8d60>,0,2
*c1c(*)c([N+](=O)[O-])c([N+](=O)[O-])c(N)c1C,14,<rdkit.Chem.rdchem.Mol object at 0x7f73bc98f140>,0,2
*c1cc2c(s1)-c1cc3c(cc1C2)-c1sc(*)cc1C3,18,<rdkit.Chem.rdchem.Mol object at 0x7f73bc98e3b0>,0,2
*c1cc(C=Nc2cccc([N+](=O)[O-])c2C)oc1*,17,<rdkit.Chem.rdchem.Mol object at 0x7f73bc14a340>,0,2
*c1cc(N=Cc2ccc(*)o2)c(C)c([N+](=O)[O-])c1,17,<rdkit.Chem.rdchem.Mol object at 0x7f73bc148f20>,0,2
*c1c(*)n(C)c(=O)n(C)c1=O,10,<rdkit.Chem.rdchem.Mol object at 0x7f73bc149ee0>,0,2
*c1ccc(C2=C(Br)C(=O)C(F)(F)CO2)c(*)c1,16,<rdkit.Chem.rdchem.Mol object at 0x7f73bc149310>,0,2
*c1ccc(C2=C(Br)C(=O)C(F)(F)CO2)cc1*,16,<rdkit.Chem.rdchem.Mol object at 0x7f73bc795f50>,0,2
*c1cccc2c1c(*)c1n2CCc2ccccc2-1,17,<rdkit.Chem.rdchem.Mol object at 0x7f73bc794740>,0,2
*c1c2n(c3c(*)cccc13)CCc1ccccc1-2,17,<rdkit.Chem.rdchem.Mol object at 0x7f73b7f3d000>,0,2
*c1ncc(Br)c(*)n1,7,<rdkit.Chem.rdchem.Mol object at 0x7f73bc7954d0>,0,2
*c1oc(*)c2c1N=NN(C)C2c1ccccc1,16,<rdkit.Chem.rdchem.Mol object at 0x7f73bc794040>,0,2
*c1cc2c(c(*)c1Cl)C(C1C=CCCC1)C(=O)N2,17,<rdkit.Chem.rdchem.Mol object at 0x7f73bc274cf0>,0,2
*c1cc2c(c(*)c1C)CN1CN2Cc2cc(C)ccc21,19,<rdkit.Chem.rdchem.Mol object at 0x7f73bc2758c0>,0,2
*c1cccc2c([P-](#[S+])(C(C)C)C(C)C)c3cccc(*)c3cc12,22,<rdkit.Chem.rdchem.Mol object at 0x7f73bc247c30>,0,2
*c1cccc2c([P-](#[S+])(C(C)C)C(C)C)c3ccccc3c(*)c12,22,<rdkit.Chem.rdchem.Mol object at 0x7f73bc247370>,0,2
*c1c2sc3c(c2c(*)c2sc4c(c12)SCCC4)SCCC3,20,<rdkit.Chem.rdchem.Mol object at 0x7f73bc2449e0>,0,2
*c1cc(Br)cc(C=Nc2ccc(Cl)cc2*)c1,16,<rdkit.Chem.rdchem.Mol object at 0x7f73bc246ce0>,0,2
*c1cc(Cl)ccc1N=Cc1cccc(Br)c1*,16,<rdkit.Chem.rdchem.Mol object at 0x7f73bc245e00>,0,2
*c1cc2ccoc2cc1*,9,<rdkit.Chem.rdchem.Mol object at 0x7f73bc246ff0>,0,2
*c1cc(*)c2occc2c1,9,<rdkit.Chem.rdchem.Mol object at 0x7f73bc2f8a50>,0,2
*c1ccc2occc2c1*,9,<rdkit.Chem.rdchem.Mol object at 0x7f73bc2f8350>,0,2
*c1ccc2ccoc2c1*,9,<rdkit.Chem.rdchem.Mol object at 0x7f73bc2f9150>,0,2
*c1cc(*)c2ccoc2c1,9,<rdkit.Chem.rdchem.Mol object at 0x7f73bc2fadc0>,0,2
*c1ccc(*)c2occc12,9,<rdkit.Chem.rdchem.Mol object at 0x7f73bc2f9380>,0,2
*c1cc(*)c2c(c1)C(=O)OC2,10,<rdkit.Chem.rdchem.Mol object at 0x7f73bc2fbdf0>,0,2
*c1c(*)c(Cl)c(Cl)c(Cl)c1O,10,<rdkit.Chem.rdchem.Mol object at 0x7f73bc2f8f20>,0,2
*c1ccc2cc3n(c2c1*)C(CC=O)C(=O)NC3C=O,19,<rdkit.Chem.rdchem.Mol object at 0x7f73bc333e60>,0,2
*c1c2n(c3c(*)cccc13)C(CC=O)C(=O)NC2C=O,19,<rdkit.Chem.rdchem.Mol object at 0x7f73bc333990>,0,2
*c1cc(*)c2c(c1)CCCC2=O,11,<rdkit.Chem.rdchem.Mol object at 0x7f73bc3300b0>,0,2
*c1cc2c(cc1*)C(C(C)(C)CC)C1OOC(C)OC2O1,20,<rdkit.Chem.rdchem.Mol object at 0x7f73bc3314d0>,0,2
*c1ccc2c(c1*)CC(=O)N2[P-]1(#[O+])OCC(C)(C)CO1,19,<rdkit.Chem.rdchem.Mol object at 0x7f73b7f46650>,0,2
*c1c(Br)c(Cl)c(Cl)n1*,8,<rdkit.Chem.rdchem.Mol object at 0x7f73b7f46ab0>,0,2
*c1ccc([P-](=O)(c2ccccc2)=[N+]2OC2C)c(*)c1,18,<rdkit.Chem.rdchem.Mol object at 0x7f73b7f1e490>,0,2
*c1c(C)ccc(C2=NOC(O)C2)c1*,13,<rdkit.Chem.rdchem.Mol object at 0x7f73b7f777d0>,0,2
*c1c(*)c2n(c1C)C(C)(C)Cc1ccccc1-2,16,<rdkit.Chem.rdchem.Mol object at 0x7f73b7f743c0>,0,2
*c1cc(*)c2c(c1)=C([O-])[N+](=C1C=CC=CC1=[S+]C)C=2[O-],19,<rdkit.Chem.rdchem.Mol object at 0x7f73b7f946d0>,0,2
*C1=CC=CC(=[N+]2C([O-])=c3ccc(*)cc3=C2[O-])C1=[S+]C,19,<rdkit.Chem.rdchem.Mol object at 0x7f73b7f95380>,0,2
*c1ccc(C2=NCC3CCCC2C3=O)c(*)c1,16,<rdkit.Chem.rdchem.Mol object at 0x7f73b7f942e0>,0,2
